=== ALL-TIME RANKED TAGPRO TEAM RECORDS ===

## FULL GAME RECORDS (Including Overtime)

### HIGHS

#### Captures
  Match 4139809: Mos Def, TheG, Marijuana, OuchMyBalls - 0 (Win)
  Match 4140307: Mos Def, Suchit, Trapsin, PenFifteen - 0 (Win)
  Match 4141590: Mos Def, SluffAndRuff, trash panda, jmu - 0 (Win)
  Match 4141623: Mos Def, Cheezedoodle, name333, omni - 0 (Win)
  Match 4058780: Mos Def, Porps, Ty, Eat Tofu - 0 (Loss)
  Match 4140511: Mos Def, whiff, Vader, bronny james - 0 (Loss)
  Match 4145393: Mr awesome:), S. Strasball, Mystic, jig - 0 (Loss)
  Match 4143257: Mystic, glizzy23, Electro, Junoon - 0 (Win)
  Match 4143400: Mystic, megapoop22, Irony, trippi - 0 (Loss)
  Match 4141099: Niku, Rabz, Suchit, tacotacotaco - 0 (Loss)
  Match 3970497: Old Cob, o3, NUTSNUTSNUTS, MrDMoney - 0 (Loss)
  Match 3935687: Optical Juke, jig, Hjalpa, Beach - 0 (Loss)
  Match 4139758: Optical Juke, BaII, Cheezedoodle, S. Strasball - 0 (Loss)
  Match 4136976: PASSTHEFLAG, Carrrrrl, Nevermind, whatsupguys - 0 (Win)
  Match 4145426: PASSTHEFLAG, Irony, omni, ft - 0 (Win)
  Match 3947239: PASSTHEFLAG, Neph, nej, Goofy Goober - 0 (Loss)
  Match 4143912: PASSTHEFLAG, gueromoon, GtR, Airmigo - 0 (Loss)
  Match 4138166: Penis Wings, Airmigo, BUTT, whiff - 0 (Win)
  Match 4137512: Penis Wings, LogisticMap, Snowball, baIl-e - 0 (Loss)
  Match 3997686: PuyoPuyo, icancountto3, Hugo Ball, Beach - 0 (Loss)
  Match 4031210: PuyoPuyo, poodIe, Dayman, fl33t - 0 (Loss)
  Match 4143466: ROBOPOP_, Flat Earth, kmichael, timeboy - 0 (Win)
  Match 4140201: Rabz, PenFifteen, AJ., Carrrrrl - 0 (Loss)
  Match 4141450: Ragnar, trippi, Airmigo, PBN - 0 (Loss)
  Match 3968393: RedBull, snakes, Enervate, Junoon - 0 (Loss)
  Match 3984279: Riven, Ducky, Homie, Vader - 0 (Loss)
  Match 4145333: Rudey, Messy, jig, gl hf :) - 0 (Win)
  Match 4121051: Rudey, CT Crunch, may_hem, josh61616 - 0 (Loss)
  Match 4141937: Rudey, broseph, phreak, jjpoole - 0 (Loss)
  Match 4061187: Sgt Ducky, Jed Bartlet, cereballsy, MrDMoney - 0 (Loss)
  Match 4033993: Sif, Taurus, babyTron, oldAlt - 0 (Loss)
  Match 4051753: Sif, josh61616, Irony, UNlTY - 0 (Loss)
  Match 4141194: SluffAndRuff, LogisticMap, sieh, K O - 0 (Win)
  Match 4141450: SluffAndRuff, CRYCHIC, realtea, jig - 0 (Win)
  Match 4142952: SluffAndRuff, JKooter, xcv, metalhead - 0 (Win)
  Match 4143042: SluffAndRuff, omar, kmichael, PBN - 0 (Win)
